word,count
피로,1
선별,1
진료소,1
냉방기,1
설치,1
양상,1
치명,1
노인,1
병실,1
확보,1
대비,1
승격,1
통과,1
조직,1
충원,1
사전,1
연구,1
연구소,1
국립보건연구원,1
기능,1
예외,1
전망,1
재정,1
수칙,1
회담,1
일직선,1
파탄,1
변동,1
외부,1
요인,1
강물,1
낙관,1
한걸음,1
돌파구,1
숙원,1
박정희,1
노태우,1
노무현,1
자산,1
문제 해결,1
열쇠,1
비준,1
부침,1
연속,1
격랑,1
전제,1
의견,1
서민,1
한계상황,1
최소한,1
하고,1
기조,1
타격,1
최소,1
효과,1
수도,1
재생산,1
지수,1
안심,1
당국,1
이면,1
감수,1
통제,1
범위,1
장시간,1
중지,1
작정,1
강요,1
호소,1
응답,1
숨통,1
안도,1
목적,1
편성,1
중점,1
업무,1
폭증,1
과로,1
농축수산물,1
선물,1
장려,1
물량,1
부처,1
감독,1
임시,1
